CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"20,100.00","1,40,205",20.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,150.00","67,730",21.05,-,-,-,-,-,-,-,-,
,8,6,6,-,"2,350.00",-250.00,650,"2,484.40","2,699.80",65,"20,200.00",650,84.00,84.95,520,61.10,84.95,35.65,"3,123","1,118","1,313",
,1,1,1,-,"2,221.65","-3,014.00",650,"2,266.65","2,880.55",65,"20,250.00","86,320",21.50,-,-,-,-,-,-,-,-,
,1,1,1,-,"2,177.45","-3,009.00",650,"2,217.00","2,806.90","1,690","20,300.00",520,90.10,92.65,585,67.40,92.65,35.38,786,232,265,
,1,1,1,-,"2,434.15","-2,703.10",650,"2,361.20","2,729.60",65,"20,350.00","89,245",22.10,-,-,-,-,-,-,-,-,
,1,1,1,-,"2,428.70","-2,659.35",650,"2,316.85","2,500.05",65,"20,400.00",520,99.40,100.00,65,73.45,100.50,35.06,144,46,47,
,1,1,1,-,"2,343.90","-2,694.90",650,"2,272.40","2,465.40",65,"20,450.00","99,775",24.00,-,-,-,-,-,-,-,-,
,"2,952",763,"1,371",24.61,"2,378.45",-7.65,65,"2,367.60","2,394.90",130,"20,500.00",455,107.70,108.00,"3,185",4.95,107.95,34.65,"52,139","10,645","35,777",
,2,-,-,-,"2,277.20",-,650,"2,156.30","2,371.65",65,"20,550.00",65,111.60,114.20,520,83.25,114.00,34.63,371,157,159,
,4,-,-,-,"2,033.15",-,650,"2,100.85","2,537.80","1,690","20,600.00","2,83,790",34.90,-,-,34.55,34.90,25.30,12,12,12,
,3,-,-,-,"2,380.00",-,650,"2,037.65","2,485.10","1,690","20,650.00","3,705",101.75,121.45,520,-,34.10,-,-,-,1,
,4,-,-,-,"2,152.15",-,650,"1,933.95","2,223.10",65,"20,700.00",65,125.85,127.70,455,89.45,127.70,34.08,"1,099",386,387,
,3,-,-,-,"2,107.00",-,650,"1,972.60","2,403.65","1,690","20,750.00","23,205",45.30,-,-,-,-,-,-,-,-,
,4,-,1,-,"1,600.00",-445.70,780,"1,874.40","2,130.55",65,"20,800.00",65,134.40,136.00,65,3.00,134.35,33.45,"4,724",624,"1,907",
,3,-,-,-,"2,207.25",-,650,"1,884.15","2,099.85",65,"20,850.00","19,175",50.45,-,-,-,-,-,-,-,-,
,3,-,-,-,"1,980.85",-,650,"1,824.70","2,065.00",65,"20,900.00",65,145.40,147.70,520,86.30,147.00,33.24,921,249,267,
,4,-,-,-,"2,124.40",-,650,"1,787.85","2,078.10",65,"20,950.00","8,190",59.10,-,-,-,-,-,-,-,-,
,"15,926",342,"4,979",26.86,"1,939.95",-8.20,65,"1,921.60","1,939.95",260,"21,000.00",715,159.20,161.70,65,4.30,159.25,32.92,"82,761","2,044","52,434",
,1,-,-,-,"1,684.05",-,650,"1,770.90","1,999.15","1,690","21,050.00","9,945",68.90,-,-,-,-,-,-,-,-,
,9,4,5,23.13,"1,813.45",36.50,"1,300","1,564.45","1,918.20",650,"21,100.00",65,170.95,173.40,520,96.15,174.90,32.78,"2,824",606,611,
,4,-,-,-,"1,834.05",-,650,"1,585.60","1,849.15",65,"21,150.00","9,490",85.00,-,-,-,-,-,-,-,-,
,3,-,-,-,"1,569.50",-,650,"1,650.35","1,919.25","1,690","21,200.00","1,20,055",129.65,-,-,128.15,129.65,28.35,17,17,17,
,4,-,-,-,"1,545.05",-,650,"1,489.30","1,761.35",65,"21,250.00","5,460",104.40,-,-,-,-,-,-,-,-,
,2,-,-,-,"1,600.00",-,650,"1,567.00","1,795.15","1,690","21,300.00","27,495",156.25,-,-,154.35,156.25,29.01,1,1,1,
,2,1,5,26.91,"1,643.55",141.00,650,"1,525.25","1,741.25",65,"21,350.00","6,695",170.95,-,-,124.95,127.05,26.37,1,1,1,
,30,1,3,26.10,"1,591.00",40.50,650,"1,489.75","1,691.60",650,"21,400.00",65,213.55,222.90,65,7.10,220.80,31.82,"4,116",818,"1,400",
,6,-,1,-,"1,233.95",-456.85,130,"1,341.80","1,740.10",65,"21,450.00",65,222.60,231.70,65,9.60,231.75,31.79,"1,215",125,375,
,"3,776",226,"1,632",26.52,"1,516.35",-18.85,585,"1,518.00","1,536.10",65,"21,500.00",195,233.70,238.00,65,2.05,233.95,31.24,"38,057","1,783","25,525",
,9,1,1,27.19,"1,487.35",3.85,650,"1,372.00","1,582.40","1,690","21,550.00","6,435",184.05,-,-,-,-,-,-,-,-,
,739,446,917,25.86,"1,426.70",-14.85,65,"1,422.35","1,458.50",65,"21,600.00",65,251.05,257.00,195,5.30,256.00,31.10,"4,219",275,"1,816",
,24,-1,3,24.41,"1,364.05",-42.15,65,889.75,"1,607.45",65,"21,650.00","4,095",218.75,268.80,390,-,-,-,-,-,-,
,141,34,201,24.57,"1,327.30",-58.65,65,"1,344.15","1,381.60",65,"21,700.00",65,275.00,278.80,65,6.55,278.60,30.91,"5,469",523,"2,882",
,32,10,31,24.79,"1,292.50",-66.20,650,"1,256.70","1,386.30",650,"21,750.00",65,282.15,291.05,65,286.80,291.70,30.88,214,116,116,
,161,45,258,25.94,"1,275.00",-28.60,65,"1,280.05","1,303.05",65,"21,800.00",65,293.30,300.05,65,6.45,300.00,30.58,"5,687",484,"2,923",
,24,1,14,21.32,"1,156.75",-89.95,650,"1,036.90","1,308.30",650,"21,850.00",390,304.75,312.60,390,309.90,315.90,30.64,93,76,76,
,283,191,506,25.01,"1,184.25",-38.15,65,"1,190.05","1,225.05",65,"21,900.00",65,316.70,325.40,65,4.20,323.00,30.25,"3,497",637,"1,621",
,26,-1,16,13.36,959.00,-204.05,650,"1,085.00","1,234.30",390,"21,950.00",65,327.65,337.80,65,2.50,332.10,29.93,"2,353",153,350,
,"23,088","2,483","15,256",25.95,"1,130.90",-25.85,65,"1,133.60","1,143.90",65,"22,000.00",65,346.35,349.65,65,6.85,350.00,30.03,"73,020","7,000","50,706",
,171,12,50,27.61,"1,129.90",10.55,650,"1,013.00","1,222.90",650,"22,050.00",65,355.45,364.65,65,2.70,361.85,29.81,926,138,575,
,876,-87,954,25.00,"1,042.65",-38.55,65,"1,044.25","1,078.60",65,"22,100.00",65,369.05,378.35,65,6.00,375.80,29.68,"4,821",273,"2,391",
