CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,780,"2,657.20","3,216.60","1,690","20,100.00","2,70,790",0.75,0.80,"5,200",-4.10,0.80,91.43,"2,90,264","-16,495","72,836",
,-,-,-,-,-,-,780,"2,610.55","3,162.00","1,690","20,150.00","12,415",0.70,0.80,325,-4.15,0.75,89.32,"30,405",-112,"3,378",
,3,-,1,-,"2,467.30",21.15,130,"2,754.15","2,827.20",780,"20,200.00","1,33,055",0.85,1.00,"5,785",-4.40,0.85,88.86,"3,02,599","-65,986","1,06,201",
,-,-,-,-,-,-,780,"2,523.95","2,965.50","1,690","20,250.00","1,885",0.70,0.90,65,-4.40,0.85,87.30,"63,058","1,789","16,580",
,1,1,2,-,"2,357.00","-2,339.90",195,"2,641.50","2,739.80",780,"20,300.00","10,595",0.90,1.00,"11,895",-4.40,1.00,87.16,"1,34,017","2,216","18,212",
,-,-,-,-,-,-,780,"2,564.10","2,676.75",780,"20,350.00","1,625",0.75,0.95,"2,600",-4.55,1.10,86.42,"32,868",-633,"1,998",
,-,-,-,-,-,-,780,"2,502.95","2,627.50",780,"20,400.00","1,755",0.70,1.15,"1,300",-5.00,0.95,83.58,"82,633","-13,399","6,083",
,-,-,-,-,-,-,780,"2,335.45","2,746.10",780,"20,450.00","1,300",1.05,1.15,"1,690",-5.05,1.10,83.26,"47,310",-864,"1,431",
,409,-224,272,-,"2,470.00",304.45,390,"2,414.50","2,515.05",195,"20,500.00","2,015",1.15,1.30,"23,530",-5.25,1.20,82.43,"4,72,118","-25,312","80,560",
,2,1,2,-,"2,144.65",-100.10,780,"2,199.85","2,464.85",780,"20,550.00","1,235",1.20,1.40,"2,470",-5.75,1.20,80.84,"49,386","-1,794","2,916",
,7,3,12,-,"2,335.00",173.40,195,"2,344.75","2,414.65",780,"20,600.00","1,755",1.10,1.30,"20,735",-6.05,1.10,78.53,"1,05,473","-4,297","10,877",
,1,1,2,-,"1,996.85","-2,352.30",780,"2,264.45","2,364.85",780,"20,650.00","1,885",1.35,1.55,"31,395",-6.15,1.35,78.66,"62,719","-1,552","3,615",
,3,1,3,-,"2,240.00",340.00,195,"2,227.65","2,331.65",780,"20,700.00","1,755",1.30,1.50,"1,755",-6.60,1.35,77.05,"1,81,798","-1,121","21,445",
,2,-,-,-,-,-,780,"2,164.75","2,264.85",780,"20,750.00","1,755",1.45,1.60,975,-7.25,1.35,75.45,"76,557","-2,078","3,231",
,2,-,1,-,"2,140.00",330.00,195,"2,151.15","2,214.75",780,"20,800.00","1,755",1.40,1.60,910,-7.60,1.50,74.72,"2,77,586","-10,240","20,377",
,2,-,-,-,-,-,780,"2,064.90","2,164.75",780,"20,850.00",715,1.40,1.60,650,-8.40,1.45,72.83,"1,02,095","-2,786","6,206",
,5,-,2,-,"2,040.00",717.75,195,"1,990.90","2,197.40",780,"20,900.00",65,1.65,1.85,260,-8.90,1.55,71.75,"2,35,442","-10,070","22,299",
,3,1,2,-,"1,702.75",43.70,390,"1,958.10","2,064.85",780,"20,950.00",65,1.75,1.85,"1,885",-9.40,1.80,71.35,"1,21,348","1,960","11,599",
,"8,784","-1,894","3,422",-,"1,970.00",273.95,65,"1,963.70","1,974.10",845,"21,000.00",65,1.95,2.10,"1,755",-10.50,1.90,70.15,"10,05,309","10,751","1,43,404",
,5,-,3,-,"1,564.25",-335.75,780,"1,872.45","1,965.15",780,"21,050.00","1,040",2.10,2.30,715,-11.25,2.05,69.13,"1,06,968","-1,897","5,673",
,10,-2,4,-,"1,820.00",208.95,195,"1,850.05","1,927.30",780,"21,100.00",65,2.30,2.40,"3,640",-12.40,2.25,68.24,"2,80,864","-2,278","20,752",
,4,-,1,-,"1,516.75",99.90,780,"1,766.40","1,865.45",780,"21,150.00","1,040",2.45,2.60,"3,120",-13.35,2.55,67.61,"1,21,256",-645,"6,450",
,18,-1,2,113.32,"1,826.95",332.70,780,"1,716.70","1,773.55",260,"21,200.00","1,820",2.45,2.55,"1,105",-14.65,2.55,65.91,"4,52,700","19,908","49,037",
,7,-1,2,-,"1,365.75",316.35,390,"1,666.40","1,770.85","1,170","21,250.00",65,2.80,2.90,"2,925",-15.80,2.75,64.84,"2,05,188",149,"12,790",
,18,-3,36,-,"1,642.80",243.20,195,"1,652.70","1,715.90",780,"21,300.00",65,3.00,3.05,"1,755",-17.45,3.05,63.99,"4,71,790","10,759","41,558",
,10,1,10,103.15,"1,672.10",363.10,780,"1,567.55","1,666.15",780,"21,350.00",260,3.25,3.30,195,-18.90,3.30,62.92,"1,88,144","-1,806","11,125",
,74,-114,143,49.54,"1,574.65",256.70,780,"1,517.90","1,571.50",130,"21,400.00",65,3.45,3.55,"2,470",-20.80,3.40,61.42,"5,78,811","24,015","54,679",
,33,-3,16,-,"1,250.00",-7.60,780,"1,486.00","1,579.05",780,"21,450.00",975,3.90,3.95,"2,405",-22.85,3.95,60.93,"2,81,828","2,584","16,892",
,"3,192",-911,"3,314",-,"1,470.10",266.55,585,"1,470.10","1,474.00",195,"21,500.00",65,4.15,4.25,455,-25.25,4.25,59.77,"15,06,906","67,298","1,65,980",
,97,-17,62,51.27,"1,425.85",230.45,780,"1,280.55","1,467.25",195,"21,550.00",910,4.60,4.90,"3,185",-27.65,4.85,59.11,"3,07,997","6,848","14,249",
,339,-84,427,-,"1,366.30",243.00,195,"1,362.35","1,378.15",130,"21,600.00","1,755",5.15,5.35,"3,510",-30.05,5.35,58.15,"8,65,439","22,205","64,728",
,136,-35,97,-,"1,316.10",243.60,195,"1,313.80","1,327.35",65,"21,650.00",130,5.85,5.90,65,-33.65,5.90,57.16,"4,01,235","4,599","18,522",
,456,-52,359,52.27,"1,278.30",246.10,130,"1,222.75","1,276.60",130,"21,700.00","1,430",6.50,6.65,845,-36.65,6.50,56.15,"10,14,489","17,897","63,550",
,202,-39,255,49.58,"1,227.85",224.60,390,"1,171.90","1,228.60",260,"21,750.00",910,7.05,7.35,650,-40.10,7.40,55.43,"5,73,942","17,847","26,263",
,572,-308,"1,271",46.09,"1,177.05",239.95,65,"1,157.00","1,177.70",130,"21,800.00","1,690",7.85,8.05,910,-45.40,7.85,54.04,"12,08,122","31,327","65,237",
,338,-63,349,49.97,"1,130.40",249.80,780,"1,016.45","1,130.80",325,"21,850.00","1,560",8.80,9.00,715,-49.45,8.95,53.30,"5,52,176","12,806","20,949",
,"2,389","-1,348","4,076",-,"1,073.70",227.95,260,"1,068.45","1,080.25",130,"21,900.00","1,755",9.70,9.95,845,-54.95,9.95,52.32,"12,41,871","37,045","62,959",
,610,-154,727,45.58,"1,030.00",225.50,130,"1,007.45","1,032.75",455,"21,950.00","1,755",11.10,11.50,845,-60.70,11.20,51.43,"6,16,940","8,562","17,258",
,"5,381","-3,539","35,063",38.78,976.95,209.05,260,976.15,982.70,325,"22,000.00","1,300",12.75,13.00,845,-66.20,12.90,50.77,"32,18,059","54,358","1,62,754",
